patent_title,patent_number,patent_type,patent_date,patent_abstract,patent_firstnamed_assignee_id,patent_firstnamed_assignee_country,patent_firstnamed_assignee_latitude,patent_firstnamed_assignee_longitude,patent_firstnamed_assignee_city,patent_firstnamed_inventor_latitude,patent_firstnamed_inventor_longitude,patent_firstnamed_inventor_city,patent_firstnamed_inventor_country,patent_firstnamed_inventor_id,assignee_key_id,assignee_organization,assignee_type,assignee_total_num_patents
Integrated electrical and mechanical photovoltaic array interconnection system,9899955,utility,2018-02-20,"A mount system for a photovoltaic (PV) panel array allows for ease of installation, flexibility of movement, and the ability to remove and redeploy the system as needed. The system includes a plurality of modules which support a PV panel and a plurality of purlin connectors which interconnect with the modules. The system further includes a plurality of electrical connections which allow each of the modules to be in electrical communication with one another and may further a junction box, also in electrical communication with the modules.",org_lTHG5e1lAeyochHx3vvW,US,41.6022,-71.2508,Portsmouth,41.6022,-71.2508,Portsmouth,US,9136792-1,org_lTHG5e1lAeyochHx3vvW,"PV Solutions, LLC",2.0,4.0
Thin-film coating apparatus for applying enhanced performance coatings on outdoor substrates,10010902,utility,2018-07-03,"A thin-film coating applicator assembly is disclosed for coating substrates in outdoor applications. The innovative thin-film coating applicator assembly is adapted to apply performance enhancement coatings on installed photovoltaic panels and glass windows in outdoor environments. The coating applicator is adapted to move along a solar panel or glass pane while applicator mechanisms deposit a uniform layer of liquid coating solution to the substrate's surface. The applicator assembly comprises a conveyance means disposed on a frame. Further disclosed are innovative applicator heads that comprise a deformable sponge-like core surrounded by a microporous layer. The structure, when in contact with a substrate surface, deposits a uniform layer of coating solution over a large surface.",,,,,,44.5647,-123.26100000000001,Corvallis,US,6128650-1,,,,
Solar thermal lamps and globes for heating water in a water tank,10018378,utility,2018-07-10,"A solar thermal lamp used for heating water inside a tank. The thermal lamp includes a transparent glass bulb with a threaded male coupling for attaching to a female coupling in the tank. The lamp also includes a heat tube with an enlarged water heating condenser. The condenser is received inside the tank. The heat tube can include a copper coil, copper fins, a glass coil, a copper lamp, a glass lamp, and the like for receiving solar energy and conducting the heat to the heating condenser for heating the water inside the tank. Also, the invention can be in the form of a solar thermal globe. The solar globe is self-contained and includes a water tank. Another embodiment of the globe tracks with the daily movement of the sun and change with seasons.",,,,,,39.6133,-105.016,Littleton,US,9400121-1,,,,
Flagpole illumination device,10024506,utility,2018-07-17,"An illumination device having a pole mount, a light support that extends from the pole mount, a lighting unit is connected to the pole mount, and a solar panel assembly is mounted to the lighting unit. In another embodiment an illumination apparatus is provided having a pole mount and a lighting assembly, and the pole mount has a first clamp half and a second clamp half. In another preferred embodiment there is flexible lighting assembly comprising a mount that is connected to a slider bar that supports a slider. A light support arm is supported on the slider and the light support arm connects to a central support member. A flexible member extends from the central support member to a telescopic lighting assembly having a light-generating device. A solar unit is connected to the slider bar and is wired to and powers the light-generating device.",,,,,,42.9006,-78.6706,Lancaster,US,9523484-1,,,,
Combination fence and solar heater for swimming pools,10024578,utility,2018-07-17,"A combination fence and solar heater. The fence for enclosing a swimming pool and heating water from the swimming pool in order to provide more comfortable swimming conditions and a longer swimming season. The fence includes posts, upper and lower rails, and pickets. The rails include first and second conduits, each having a passageway for carrying water being circulated in communication with the swimming pool. The first conduit has an exterior surface that is exposed to the sun; absorbing solar energy which heats the stream of water therein. The second conduit is nested within the first conduit and absorbs a portion of the energy absorbed by the first conduit. Often, water temperatures within the first and second conduits differ from each other, allowing for discharge of heated water over a range of temperatures to the swimming pool.",,,,,,35.2428,-81.0375,Belmont,US,10024578-1,,,,
Solar-powered ridge vent fan unit,10041693,utility,2018-08-07,A solar powered fan kit is provided for installation in a roof and in the ridge of the roof. The solar powered fan kit includes a fan attached to a fan bracket. The fan bracket is configured to be suspended from a roof within a ridge vent of the roof. A solar panel is attached to the roof to supply power to the fan.,,,,,,47.6064,-122.331,Seattle,US,10041693-1,,,,
"Clean energy generation, storage, and distribution solar shade device and method of use thereof",10044318,utility,2018-08-07,"A solar shade-energy device comprising a solar shade having a photovoltaic solar panel and a support structure; a means of mounting said solar shade; an energy storage-distribution module having a housing, an energy storage device, power conditioning circuitry, and one-or-more energy distribution ports; a means of detachably mounting said energy storage-distribution module onto said solar shade; and a disconnectable electrical interface means between said energy storage-distribution module and said photovoltaic solar panel is disclosed. A method of using said solar shade-energy device is also disclosed.",,,,,,34.1592,-118.5,Encino,US,10044318-1,,,,
Elevated long span solar panel mounting system,10044319,utility,2018-08-07,"An elevated trellis style long span solar panel mounting system with a deployable truss structure underneath that allows the solar array to be positioned at a height to eliminate or minimize shading from roof structures or mounted equipment that employs a force cancelling truss configuration to minimize side loads and the resulting bending loads on the roof support system to which it is attached, thereby eliminating the need for cross-bracing between mounting posts which limits roof access for re-roofing without solar system removal, and provides a means for adjusting the tilt angle, height, and mounting post spacing by sliding truss members to the appropriate positions.",,,,,,37.5958,-122.01799999999999,Union City,US,5994706-5,,,,
Method for controlling a flying object for cleaning surfaces,10046857,utility,2018-08-14,"1. Method for controlling a flying body for cleaning surfaces2.1. Flying bodies can cover large distances between arrangements of smooth and curved surfaces without requiring manual manipulation. This reduces personnel requirements and enables large surfaces to be maintained, for example solar power stations, in a fully automated manner.2.2. The method for controlling a flying body for cleaning surfaces consists of detecting the surrounding surfaces of an object to be cleaned, directing the flying body with respect thereto and structuring the flight path. As a result, the surface can be cleaned particularly efficiently and, if needed, worked on further.2.3. Said method for controlling a flying object for cleaning surfaces is suitable for use on glass facades or on solar power stations, particularly in arid regions.",,,,,,51.5112,-0.1198,London,GB,10046857-1,,,,
System for producing hot water,10054319,utility,2018-08-21,"The invention relates to a system for producing hot water, comprising a hot water reservoir, a first and a second resistance heating rod for heating the water in the hot water reservoir, a reservoir temperature sensor, and a control unit, by means of which the first resistance heating rod can be connected to a network alternating voltage source, wherein the system comprises a photovoltaic device for producing a direct voltage and the photovoltaic device can be connected to the second resistance heating rod by means of the control unit or a further control unit.",,,,,,48.05,14.3333,Neuzeug,AT,10054319-1,,,,
Photovoltaic module mounting assembly,10054336,utility,2018-08-21,"A mounting assembly (70c) for installing solar cell or photovoltaic modules (58) on a building surface (34) is disclosed. The mounting assembly (70c) includes a mounting device (74), a stud (114) that may be threaded to the mounting device (74), a clamping member (142) that may be positioned on the stud (114), and a nut (128) that may be threaded onto the stud (114) to secure the clamping member (142) to the mounting device (74). A mounting plate (110′) is disposed somewhere between the clamping member (142) and the mounting device (74). This mounting plate (110′) includes a raised structure or dome (174) on its upper surface (170) for positionally registering modules (58) thereto, a plurality of grounding projections (172) on this same upper surface (170), and a plurality of wiring tabs or clips (178) on its lower surface (176).",,,,,,38.8339,-104.821,Colorado Springs,US,5228248-1,,,,
Reproducible building structure with integrated solar energy system,10060120,utility,2018-08-28,"Methods for constructing and a building kit for use thereof are disclosed. The building kit includes a plurality of posts configured for embedding within square apertures of a foundation, wherein the posts have a cross-shaped cross-sectional shape, a plurality of cross-shaped cross-sectional shaped elongated members, a plurality of roof panels, wherein the roof panels include solar cells, and a plurality of wall panels having conforming shape to the cross-shaped cross-sectional shaped elongated members.",,,,,,34.98,63.2542,Khalifa,AE,10060120-1,,,,
Roof mount assembly,10060133,utility,2018-08-28,"A mount assembly is provided for mounting a structure to a roof having a top surface. The mount includes a flashing including an aperture; a bracket including a first portion and a second portion, the first portion having an opening and a countersink extending around the opening, the second portion extending at an angle away from the flashing, the second portion including a slot configured to be coupled to the structure; a fastener extending through the aperture and through the opening of the bracket; and a seal extending around the aperture and positioned between the flashing and the first portion of the bracket, the seal engaging the countersink of the bracket and being compressed against the flashing.",,,,,,32.2217,-110.926,Tucson,US,5609326-1,,,,
Solar thermal collector system and method configured for radiant cooling,10066840,utility,2018-09-04,"Disclosed herein is a solar thermal collector system that is particularly configured for dual use as a radiant cooling system. In accordance with aspects of a particular embodiment of the invention, the solar thermal collector system includes a solar thermal module having a glazing sheet at a top, exterior surface, and an absorber sheet within the module positioned below and spaced apart from the glazing sheet. The absorber sheet and the glazing sheet are fluidly connected to a fluid handling system, and are configured to carry a working fluid that may be heated in the absorber sheet by the sun to transfer such heat to equipment within the facility in which the system is installed, and to carry the working fluid through the glazing sheet to transfer heat collected from the facility to space. The solar thermal collector module is preferably provided a thermally actuated valve that allows the working fluid to also flow through the glazing sheet, which results in self-regulation of the temperature of the module below a critical design temperature.",,,,,,39.8028,-105.087,Arvada,US,5834923-2,,,,
Method and apparatus that generates electricity from a wind turbine equipped with self-cleaning photovoltaic panels,10094361,utility,2018-10-09,An apparatus that can optimize wind power without compromising solar photovoltaic power collection by doing so and yet provide self-cleaning of the solar photovoltaic panels of the collector. The panels rotate in unison with rotation of the wind turbine airfoils and arranged in a planar region that is substantially transverse to a circumferential region in which the airfoils rotate beneath the solar photovoltaic collector.,,,,,,41.0264,-73.6289,Greenwich,US,9103321-1,,,,
Racking system for installing solar panels,10097133,utility,2018-10-09,A racking system is configured to install at least one photovoltaic panel on a rooftop. The racking system includes a plurality of rails. A splice bar is connected the plurality of rails and configured to mechanically strengthen the plurality of rails. A ground lug is attached to an extrusion of a side channel on each of the plurality of rails by sliding the ground lug through a rail opening. A ground wire is held in a serrated opening for safely grounding the racking system. A clamp is attached to a top channel of at least one rail such that the at least one rail and the at least one photovoltaic panel are operatively coupled to the clamp and such that the clamp is under pressure due to a spring but is able to freely rotate around a longitudinal axis.,,,,,,33.5225,-117.70700000000001,Laguna Niguel,US,10097133-1,,,,
Rail-less roof mounting system,10103683,utility,2018-10-16,"A roof mounting system for the attachment of an article to a roof, the system comprising a plurality of PV modules each having at least one corner and a frame member, a flashing member having a top surface; an upstanding sleeve attached to the top surface of the flashing member; an elevated water seal having a borehole formed therethrough, the elevated water seal further comprising at least one screw for providing a waterproof seal between the article and the roof structure; and whereby the plurality of PV modules are interlocked in a way to provide a corner-to-corner coupling arrangement supported above the roof through the frame members of the plurality of PV modules.",,,,,,37.8503,-122.031,Alamo,US,5547226-1,,,,
Solar energy collector apparatus,10103687,utility,2018-10-16,A solar energy collector includes a generally tubular housing or multiple tubular housings each having an open end for receipt of solar rays which are then reflected from a generally conical mirror within the housing onto solar cells lining the inside surface of the housing. Various mechanisms are utilized to favorably orient the housing or otherwise direct the solar rays and to maximize the incidence of reflected solar rays onto solar cells.,,,,,,34.1683,-118.605,Woodland Hills,US,9236516-1,,,,
Solar energy collection and storage,10119728,utility,2018-11-06,A solar energy collection system includes a reflector configured to reflect and focus a majority of solar energy from visible light and infrared spectra. The solar energy collection system also includes a light trap configured to receive concentrated solar energy from the reflector. The light trap includes a black body that is configured to absorb a majority of the concentrated visible light and infrared energy and convert the absorbed energy into thermal energy.,,,,,,33.4486,-86.48,Sterrett,US,9115937-1,,,,
Submersible solar lighting system,10132455,utility,2018-11-20,"The invention comprises a submersible solar lighting source, which incorporates photovoltaic panels, batteries, a lighting system and control in one and the same sealed, thin planar unit that allows illumination of the swimming pool during the night, and which has a slim design such that it can be adhered or fastened to the wall, steps or bottom of the swimming pool, allowing convenient wiring-free installation that does not interfere with the use of the pool.",,,,,,36.5954,-4.5732,Benalmadena,ES,10132455-1,,,,
"Apparatus and methods for secure, non-invasive and non-permanent surface attachment systems",10145116,utility,2018-12-04,A non-slip roof attachment system for attaching structures to residential and commercial roofs without the use of penetrations to roofing shingles and sealing layers is described. The non-slip attachment system may be used to attach roof mounted systems such as solar panels. The non-slip attachment system also allows for the quick removal of such roof mounted systems rapidly and without the need for repair of penetrations.,,,,,,38.9783,-76.4925,Annapolis,US,10145116-1,,,,
Skylight with high angle sunlight shade device,10145117,utility,2018-12-04,A skylight shade device and skylight mounted on a roof of a building includes a roof and a skylight installed on the roof. A shade element including photovoltaic cells is positioned to occlude at least a portion of high angle sunlight through the skylight dome without occluding low angle sunlight through the skylight dome.,,,,,,33.4483,-112.073,Phoenix,US,9765522-1,,,,
Supporting structure for solar panels,10168076,utility,2019-01-01,"A support structure for solar panels is comprised of two or more circular and concentric tracks or rails on which a plurality of pylons are mounted. The pylons are parallel and equipped with support wheels so as to support, through respective frames, a plurality of solar panels. The pylons rotate with respect to the common center of the concentric tracks so as to carry out a rotational movement for the azimuthal tracking (RA) of the sun (from east to west), while a plurality of actuators, which are mounted within each pylon, move one or more panels in order to obtain a rotational movement for the zenithal tracking (RZ). The combination of the two rotations is controlled by an electronic control unit, so as to follow at every moment of the day the sun's position. The support structure may be mounted on poles and can be isolated or can be installed on coverings, building roofs or generic flat surfaces.",,,,,,45.9661,12.7675,Zoppola,IT,10168076-1,,,,
Slide-on spring clip for installing solar panels and method of use,10187004,utility,2019-01-22,A slide-on spring clamp for installing solar panels has a slide portion with a centrally located slot. The slot is used to attach the slide-on clamp to a solar panel mounting base using an attachment bolt that allows the installer to locate and secure a solar panel frame from the top without having to access the underside. The slide-on clamp has a clamp portion that has a reverse curve portion that curves back over itself to form a resilient gripping portion. The reverse curve portion has locking teeth located on the interior surfaces that lock the frame in place when inserted in the slide-on clamp. A stop portion is disposed the end of the slide portion. The method includes inserting a slide-on clamp on opposite sides of the frame so that the frame has at least four slide-on clamps thereon and then securing them to the mounting bases.,,,,,,37.775,-122.41799999999999,San Francisco,US,8567132-1,,,,
Solid state solar thermal energy collector,10203134,utility,2019-02-12,"A system for receiving, transferring, and storing solar thermal energy. The system includes a concentrating solar energy collector, a transfer conduit, a thermal storage material, and an insulated container. The insulated container contains the thermal storage material, and the transfer conduit is configured to transfer solar energy collected by the solar energy collector to the thermal storage material through a wall of the insulated container.",,,,,,36.7281,-76.5839,Suffolk,US,10203134-1,,,,
Thermally insulating curtain,10208532,utility,2019-02-19,"A thermally insulating curtain for windows and rooms provided with glass or transparent material. The curtain has an outer solar-energy-absorbing surface outside a thermally insulating layer. A space is disposed between the solar-energy-absorbing surface and a transparent layer situated outside the solar-energy-absorbing layer and/or between the solar-energy-absorbing surface and the thermally insulating layer. The curtain includes a structure that transports air through the space, and a fastener for arranging the curtain on the inside of a window, so that absorbed solar energy is supplied to the room behind the curtain.",,,,,,,,,,10208532-1,,,,
Mounting apparatus for solar panels,10211774,utility,2019-02-19,The present invention provides a mounting assembly for attaching solar panels to a rooftop. The assembly allows for convenient installment and adjustment of the panels.,,,,,,30.4081,120.53399999999999,Haining,CN,10211774-1,,,,
Solar window construction and methods,10211776,utility,2019-02-19,Disclosed are novel forms of operable windows capable of producing an electrical current utilizing a transparent or semi-transparent solar collecting substrate. A scaffold assembly is utilized to enclose the perimeter of the substrate and one or more solar cells. The scaffold may comprise a scaffold port providing passage for an exit conductor from a sash lead in electrical communication with a solar cell. The assembly may include a bridge portion of an exit conductor that carries electrical current from a sash portion to a frame portion of the window assembly. A frame port extending through the frame of the window may provide passage of the exit conductor to electronic accessories or to circuits that can store or reuse the electrical energy produced. Various forms of electronic accessories are disclosed for fixed or releasable mounting to portions of the window.,,,,,,46.5436,-87.3953,Marquette,US,6186929-2,,,,
Solar shading panel for north and south sides,10215354,utility,2019-02-26,"A solar shading panel for use in north and south sides of a building is described, where the solar shading panel is effective in preventing against direct sunlight partially or throughout the year without angle adjusting equipment, while allowing building occupants to perceive external views at all times. The solar shading panel includes a frame and an opaque panel with spacing perforates attached to hollow cylinders. An upper portion of the hollow cylinders can be configured to protect against direct light and a lower portion of the hollow cylinders can be configured to receive and reflect natural light into the building.",,,,,,13.8591,100.522,Nonthaburi,TH,10215354-1,,,,
Solar panel module with increased volume of solar production,10224869,utility,2019-03-05,"A solar panel module provides increased efficiency in solar production within a volume of area within a space's square footage. In general, embodiments arrange solar panels into polygonal shaped containers. The containers include inward facing solar cell faces that project orthogonally from a common base. The solar cell faces reflect sunlight captured within the module's volume and reflect it from one incident solar cell face onto one or more other inward facing surfaces of the plurality of panels joined together to form the polygonally shaped module. Thus, solar energy which is typically reflected off when incident upon a conventional solar panel is recaptured by adjacent panels in the module.",,,,,,,,,,9887664-1,,,,
Solar oven positioning,10247447,utility,2019-04-02,Positioning a radiation collection device such as a solar oven using a positioning system attached to an outside of a building structure. The positioning system allowing the collection device to be positioned in a plurality of locations where at least one of the plurality of locations is away from the building structure to allow the radiation collection device to collect solar radiation.,,,,,,36.9742,-122.03,Santa Cruz,US,4258948-1,,,,
Connecting solar modules,10270385,utility,2019-04-23,A module connector connects a first solar module to a second solar module. A first part of the module connector includes a top component having a top flange that is slightly tilted lower at a tip of the top flange. A bottom component has a hook-shaped end that is shaped to slide and enclose an inner side of a module frame bottom of the first solar module. A first fastener is used to secure the first solar panel module between the top component and the bottom component. A second part of the module connector includes a top component having a top flange that is slightly tilted lower at a tip of the top flange. A bottom component of the second part has a hook-shaped end that is shaped to slide and enclose an inner side of a module frame bottom of the second solar module. A second fastener is used to secure the second solar panel module between the top component and the bottom component of the second part. A third fastener fastens the top component of the first part to the bottom component of the second part.,,,,,,37.5483,-121.988,Fremont,US,8713858-1,,,,
Mounting apparatus to secure a solar panel rail to stone-coated metal tile roofs,10277162,utility,2019-04-30,"A mounting apparatus to secure a solar panel rail to a metal tile roof and minimize penetrations or damage to a rafter of the roof positioned below a plurality of metal tiles is provided. The mounting apparatus permits the solar panel rail to support a solar panel thereon. The mounting apparatus includes a lower assembly coupled to the metal tile roof and having a threaded screw and flashing disposed on a metal tile and coupled together, and an upper arm assembly coupled to the threaded screw of the lower assembly, the upper arm assembly having a generally L-shaped member having a slot to receive a fastener that secures the solar panel rail thereto, thereby permitting the mounting apparatus to support the solar panel rail above the metal tile roof.",,,,,,,,,,9577571-1,,,,
Brackets for installing building attachments,10284137,utility,2019-05-07,"Roof brackets for attaching a structure such as a patio cover to a building, and methods for installing the brackets. The brackets have a saddle for receiving a support beam of the structure. The brackets can be attached to the building roof, but do not penetrate the roof substrate, thus preventing leakage and other structural problems. The roof brackets comprise a plate that is installed between the roof substrate and the shingles or tile on the roof. The brackets are available in different configurations depending on the roof pitch for easy installation. One roof bracket has a riser so that the saddle is lifted above the roof. Another roof bracket is configured so that when installed the saddle is located beyond the edge of the roof. Other brackets can be attached to the rafters under the roof. These also come in different configurations depending on roof pitch, and they are configured to extend below and outward from the fascia.",,,,,,35.6267,-120.69,Paso Robles,US,9822524-1,,,,
Functional roof construction method and arrangement,10287775,utility,2019-05-14,"A functional roof construction arrangement for a roof frame of a building, includes a plurality of functional roof modules being assembled together. Each of the functional roof modules includes a module housing and a roof functional unit which includes three different roof functional panel units selectively supported by the module housing at different levels thereof to provide different functions for the building. The roof functional panel units are selectively configured for selectively providing multiple functions of solar energy collection, thermal insulation, sound insulation, wireless network system, and the like.",,,,,,24.7463,121.749,,TW,9863149-1,,,,
Mounting apparatus for solar panels,10305416,utility,2019-05-28,The present invention provides a mounting apparatus for attaching solar panels to a roof top. The apparatus includes a mounting base installable on a roof top and a mounting bracket attached to the mounting base. Also provided is a method of installing solar panels on a roof top through the mounting apparatus disclosed herein.,,,,,,30.4081,120.53399999999999,Haining,CN,10211774-1,,,,
System and method for intelligent static transfer switch with smart home power management,10312684,utility,2019-06-04,"Systems and methods for intelligent transfer and management of power maintain a continuous and cost efficient supply of power to electrical loads in a residential or commercial unit when different energy resources such as utility, backup generators, energy storage systems and distributed energy resources (e.g. solar and wind) are available.",,,,,,43.6667,-79.4167,Toronto,CA,10312684-1,,,,
Roof vent for supporting a solar panel,10312854,utility,2019-06-04,"A roof vent for supporting a solar panel is provided. The roof vent includes a vent member and a solar panel support element. The vent member is sized and shaped to mimic the appearance of a roof cover element. The vent member includes an upper portion and a lower portion, the upper portion separated from the lower portion by a gap. The solar panel support element is attached to the vent member.",,,,,,38.4406,-122.713,Santa Rosa,US,D556314-2,,,,
Mounting apparatus to secure solar panel rails to stone-coated metal tile roofs,10320325,utility,2019-06-11,"A mounting apparatus to secure a pair of solar panel rails to a metal tile roof and minimize penetrations or damage to a rafter of the roof is provided. The mounting apparatus permits the solar panel rails to support adjacent solar panels thereon. The mounting apparatus includes a lower assembly coupled to the metal tile roof and having a threaded screw and flashing disposed on a metal tile and coupled together, and an upper arm assembly coupled to the threaded screw of the lower assembly, the upper arm assembly having a generally U-shaped member with a first symmetric half member and a second symmetric half member, each symmetric half member of the first and second symmetric half members having a slot to receive a fastener that secures one of the pair of solar panel rails thereto.",,,,,,34.1722,-118.37799999999999,North Hollywood,US,9577571-1,,,,
