patent_title,patent_number,patent_type,patent_date,patent_abstract,patent_firstnamed_assignee_id,patent_firstnamed_assignee_country,patent_firstnamed_assignee_latitude,patent_firstnamed_assignee_longitude,patent_firstnamed_assignee_city,patent_firstnamed_inventor_latitude,patent_firstnamed_inventor_longitude,patent_firstnamed_inventor_city,patent_firstnamed_inventor_country,patent_firstnamed_inventor_id,assignee_key_id,assignee_organization,assignee_type,assignee_total_num_patents
Apparatus for harvesting energy and other necessities of life at sea,4993348,utility,1991-02-19,"A vessel is provided, adapted for operating at the surface of the ocean, useful for a combination of functions, including providing food, fiber for clothing, living space, fresh water, transportation, and domestic energy for at least one person, as well as excess energy, food, fiber and fresh water for sale. The vessel comprises at least two hulls coupled with streamlined struts, the upper hull vertically aligned with the lower, the lower hull being fully submerged and the upper hull being fully unsubmerged, and both hulls having substantially the same volume. The vessel is stabilized by a combination of passive lift and stabilization surfaces while the vessel is in motion, and laterally mounted stabilization reservoirs for use when the vessel is not moving. The vessel is controlled and stabilized against wave-generated motion by a combination of actively controllable moveable surfaces, and is propelled by a sail and a water propellor. A combination of energy harvesting means is mounted on the vessel, including a sail augmented wind tubine, a water wave tubine, and a combination of concentrating and flat panel solar radiant energy collectors. Means is provided for converting the harvested energy into a storable form (hydrogen and oxygen) for later use or sale. Shelter is provided within the vessel for all daily living activities of an individual or a family. Means is provided for growing land food crops as well as sea food products for support of an individual or a family.",,,,,,37.3689,-122.035,Sunnyvale,US,4993348-1,,,,
Vehicle compressed air energy converter,5137416,utility,1992-08-11,"A vehicle compressed air energy converter has been developed for use along vehicular roadways, railways and airfield runways to collect wind pressure developed by the vehicles, trains and aircraft moving through the atmosphere and convert such air motion to other useful forms of energy. The converter is activated by the force of the compressed air movement entering the converter and pushing the retractable air fins of the converter in a circular motion. That circular motion is transferred to a central shaft set in bearings at either end of a housing. As the multiplicity of air fins held in place by hinges on a circular rotating base move within the converter housing, the fins move into a retracted posture so as to offer less air resistance as they circulate within the portion of the converter not subject to movement of air from the exterior of the housing. As the fins rotate to the position wherein exterior compressed air enters the converter the fins then extend to a position to maximize the resistance to the incoming wind pressure. The air pressure causes rotation of the fins and central shaft of the converter thereby transmitting torque energy to the belt pulleys on the shaft. The wheels attached to the outer edge of each air fin travels on elliptical shaped band tracks thereby causing the fins to retract and extend as rotation occurs.",,,,,,40.7294,-76.0858,Middleport,US,4998675-1,,,,
Apparatus for generating power,5272378,utility,1993-12-21,An apparatus for generating power by utilizing the wind produced from the passage of vehicular traffic such as on a highway or freeway includes a plurality of vertical axis rotors mounted vertically within a support structure. Each of the vertical axis rotors is coupled to a generator adapted to convert rotational energy of the rotors into electrical energy. The apparatus is particularly well adapted for placement between two opposing lanes of vehicular traffic in order to provide a barrier which replaces conventional barriers with one adapted to harness a previously unused source of energy.,,,,,,42.4894,-83.1447,Royal Oak,US,5272378-1,,,,
Solar and wind energy generating system for a high rise building,5394016,utility,1995-02-28,"A solar and wind energy generating system for mounting to a building comprises a wind generator system including at least an auger shaped air engaging member. A plurality of wind generators having air engaging vanes may also be provided. The wind generating system intercepts the flow of air currents to produce mechanical energy which is transformed into electrical energy by an electric generator. The air engaging surface of the wind generator vanes or the auger include a plurality of surface deviations. The surface deviations are arranged in at least one predetermined pattern such as a plurality of radially extending deviation sets. The solar generator includes a plurality of solar energy collectors. The wind generators may further include air engaging vanes with at least one transparent surface, and a plurality of solar energy collectors within a cavity formed in the vane, thus forming a combined solar and wind energy generator. The wind and solar generators are stored within the building when not in use, and movable to a position exterior of the building when in use. The wind and solar energy generating system may be vertically or horizontally mounted, on or off a pedestal, and may be surrounded by a net like structure to prevent harm to birds.",,,,,,42.3583,-71.0603,Boston,US,4009850-1,,,,
Vertical-axis wind turbine with two-phase sails,5823749,utility,1998-10-20,"A vertical axis wind turbine of the type having collapsible fabric sails (10) that reside on the rim of a horizontally disposed square rotor wheel (12,14) supported on a pivotally operated vertical mast (30). Four sails (10) are joined in oppositely disposed pairs and communicate by cables (16) through guides (18) that are positioned on a square rotor hub (14) and control the shape of the linked sails. When acted upon by wind, the sails reciprocally open and close to form two shapes. The two shapes are a scoop and a wing. The scoop holds the wind when receding from the wind. The advancing sail forms a wing that rides the wind promoting stability and reducing friction in the rotor wheel. The action of the advancing sail dampens the sail action of the opening sail and limits the opening sail to a preferred scoop shape.",,,,,,41.85,-87.65,Chicago,US,5823749-1,,,,
Wind power plant with an integrated acceleration system,5982046,utility,1999-11-09,"A wind power plant comprises a wind acceleration system having an accelerating wind means for acceleration of an incoming prevailing wind and a plurality of turbine chambers each of which is a closable outlet passage of the accelerating wind means and closed-off by a controlled closing-off means. The accelerating wind means includes regulating means for modulating accelerated wind speeds in the acceleration system. Each turbine chamber is used for mounting a wind driven turbine which is operatively connected to an electric generator by a mechanical transmission means and an adapted gearing to convert mechanical energy into electrical energy. A wind direction sensor, a wind speed sensor and a control unit are provided for controlling the operation of the wind power plant. The control unit processes the data received from the wind sensors to selectively close-off the turbine chambers by controlling the closing-off means for optimizing energy production and to modulate the accelerated wind speeds in the acceleration system by controlling the regulating means for maintaining regular regimes of operation of the wind driven turbines in spite of any high prevailing natural wind speed. In the construction of the wind power plant any controllable (changeable or closable) opening can be divided into smaller controllable openings arranged at different altitudes and closed-off by controlled windows (windows, doors or shutters) which implement functions of the regulating means or closing-off means. Whereby the wind power plant can be constructed in any scale and will harness the wind resources intensively and effectively and operate normally at any high natural prevailing wind speed.",,,,,,21.0333,105.85,Hanoi,VN,5982046-1,,,,
Building structure for utilization of wind power,6041596,utility,2000-03-28,"The subject invention is an improved building structure used for residential or other purposes, and structured to utilize wind power to an optimal extent for auxiliary power purposes, such building comprising basically a building structure that has a tunnel-like opening in a portion thereof, which tunnel is adapted to contain a wind sensitive generator therein, and wherein the building has portions of the building flanking both sides of the ingress end of said wind tunnel.",,,,,,41.6639,-83.5553,Toledo,US,4108434-1,,,,
Hybrid energy recovery system,6097104,utility,2000-08-01,"A system for recovering energy from the natural and man made sources of wind, water and sunshine provides within a given local area wind, water and solar apparatuses for converting all three wind, water and solar energies to electrical power to provide a reasonably steady supply of electrical power at all times. The wind and water apparatuses may be double speed Savonius rotor electrical generating apparatuses each of which includes two Savonius type rotors mounted adjacent to one another for rotation about a common axis with the blades of the rotor units being arranged so that the rotor units rotate in opposite directions relative to one another under the influence of a given wind or flow of water. The electrical generator of each apparatus includes a field means attached to one of the two rotors and an armature attached to the other of the two rotors so that the field means and armature rotate relative to one another at a speed approximately double the speed of rotation of each of the rotor units about the common rotational axis.",,,,,,41.7619,-72.7425,West Hartford,US,4130203-1,,,,
Permanent magnetic generator,6147415,utility,2000-11-14,"A permanent magnetic dynamo comprises a wind gatherable stand having a tapered outer wall surface that extends from the lower end toward the upper end of the wind gatherable stand in order to guide wind upward; a roof supported through support shafts fixedly standing at the peripheral edge of the wind gatherable stand such that an open space is formed above the wind gatherable stand; a rotary shaft pivotably supported by the roof and the wind gatherable stand and having a horizonal drive blades located in the open space at upper end thereof; a permanent magnetic rotor disposed within the wind gatherable stand and fixed to the rotary shaft to rotate to a vertical axis together with the rotary shaft; stator windings disposed as to face annular permanent magnetic cylindrical portions which are connected to horizontal arm portions constituting the permanent magnetic rotor; and diamagnetic annular attachment plates fixedly provided within the wind gatherable stand, so that the permanent magnetic dynamo can efficiently collect wind blown against the wind gatherable stand to the horizontal drive blades and the degree of cogging phenomenon becomes small.",,,,,,35.685,139.751,Tokyo,JP,6147415-1,,,,
Wind energy system,6157088,utility,2000-12-05,"The invention relates to the utilisation of a decommissioned power station or industrial chimney (1) made of concrete as a tower for a wind converter (2) with a high electrical output with a rotor with a substantially horizontally arranged rotor axis (20), on whose point rotor vanes (9) are located in a flying manner, after shortening by a degree determinable on the basis of static and dynamic conditions, and attachment of securing means, upon which the wind converter is rotated eccentrically to and with a degree of rotational freedom about the vertical axis of the chimney, into the respectively optimum wind direction. Alternatively, a steel base (6, 7, 12, 16) may be set on the thus shortened chimney in order to mount the wind converter, in such a way that the rotor vanes can pass the chimney at a predeterminable spacing. (FIG. 1)",,,,,,51.3,12.3333,Leipzig,DE,6157088-1,,,,
Shade cover with evaporative cooling,6161362,utility,2000-12-19,"A roof-mounted shade assembly for reducing solar heat gain includes an array of fabric panels that are tightly stretched between upright support posts in an operative position overlying and spaced from the roof of a building structure. Several spray nozzles periodically discharge water spray in the form of mist or fog into the space between the fabric panels and the building roof. The fabric panels become saturated with water spray, and fog/mist water droplets are in heat transfer contact with the roof surface and with the wet fabric panels. Thermal energy from the building structure is transferred to the surrounding atmosphere by convection and evaporative cooling as wind currents sweep across the wet fabric panels and the wet roof surface. The water-absorbent fabric panels simultaneously screen direct solar radiation and function as a thermal wick for transferring heat energy from the building structure.",,,,,,31.5492,-97.1464,Waco,US,6161362-1,,,,
Hybrid energy recovery system,6172429,utility,2001-01-09,"A system for recovering energy from the natural and man made sources of wind, water and sunshine provides within a given local area wind, water and solar apparatuses for converting all three wind, water and solar energies to electrical power to provide a reasonably steady supply of electrical power at all times. The wind and water apparatuses may be double speed Savonius rotor electrical generating apparatuses each of which includes two Savonius type rotors mounted adjacent to one another for rotation about a common axis with the blades of the rotor units being arranged so that the rotor units rotate in opposite directions relative to one another under the influence of a given wind or flow of water. The electrical generator of each apparatus includes a field means attached to one of the two rotors and an armature attached to the other of the two rotors so that the field means and armature rotate relative to one another at a speed approximately double the speed of rotation of each of the rotor units about the common rotational axis.",,,,,,41.7619,-72.7425,West Hartford,US,4130203-1,,,,
Water-mist blower cooling system and its new applications,6293121,utility,2001-09-25,"What had been created are various new processes with the corresponding newly created devices that support or to handle the new processes in order to attained the desired outcome of the new processes. One desired outcome is to produce a low technology cooling system that can be easily made by the ordinary man for himself and this is answered by the creation of a misting tube having a plurality of water misting nozzles and a blower blows wind thru the water mist towards a place or into a house or into an office. An alternative of this is a blower that blows wind thru the water mist created by an atomizer and into a house, a building, a work shop, a play area, or into a green house or plantation. An improvement of this is misting tube being place infront of a blower by attaching the misting tube to the frame/shell of the blower so that the misting tube goes freely with the left and right oscillation of the blower. A further improvement of this water-mist-blower system is where the water is mist sprayed inside a vacuumed air duct to speed up water evaporation wherein air is passed thru a multi-tube radiator inside the vacuumed air duct and the cold air from the air duct is passed thru a hybrid Centrifugal Cyclone separator to remove surplus water mist. Further created are desalination devices.",,,,,,32.7153,-117.156,San Diego,US,4756666-1,,,,
Solar-powered ventilation system for a building structure,6306030,utility,2001-10-23,"A solar-powered ventilation system for a building structure for ventilating building structures even during no wind days. The solar-powered ventilation system for a building structure includes a building structure having a roof and a conduit member extending through the roof inside the building structure; and also includes a turbine member being securely mounted to the building structure over the conduit member and having a centrally-rotating spindle and a plurality of curved vanes securely attached to and spaced about the spindle; and further includes solar panels securely mounted to a top of the conduit member and upon which the turbine member is rotatably mounted, a motor connected to the spindle for the rotation thereof, and a battery connected to the motor and to the solar panels for storing electrical energy and for energizing the motor.",,,,,,33.9136,-98.4931,Wichita Falls,US,6306030-1,,,,
Scavenger energy converter system its new applications and its control systems,6327994,utility,2001-12-11,"What has been invented is a series of scientific applications of the wideface energy converter device, be it in the form of a wideface solar heat receiver or a wideface fluid impeder device. The wider is the solar heat receiver, the more solar power is available for conversion. The wider is the sail of the boat, the more wind is available to push the boat. Wherefore, the wideface solar trap made up of multi-layer transparent roofs covering a heat insulated box is used to heat up a radiator tubings that contain water. The multilayer transparent roof, having spaces in between sheets, prevents solar heat from backing out hence the trap becomes hoter and hoter because the inner sheet is not in contact with the cold wind. This solar trap is now used to heat up radiator pipes of compressed air coming from a gas turbine engine and then returned back to the exhaust turbine of same engine. Applying the principle of the wind sail, the turbine blades of the compressor and the turbine blades of the exhaust turbine are made wideface as much as possible to produce maximum impedance against the expanding exhaust hot air and to produce maximum push upon the fresh air being compressed. This wideface fluid impeder is now expanded into an underwater platform from One Acre or much more and attached to floating hotels, large/small boats, and floating sea walls, to prevent oscillation by the surfs.",,,,,,32.7153,-117.156,San Diego,US,4756666-1,,,,
Windjet turbine,6352473,utility,2002-03-05,"A roof-mounted wind turbine includes turbine vanes that are linear-shaped and do not have the conventional convex curvature. Additionally, the turbine vanes are made in common with one another or with a common turbine component, so that each vane does not require individual handling nor individual attachment to the turbine assembly as is required in the construction of conventional wind turbines that are commercially available today. This is accomplished by producing the vanes by molding or extruding techniques that are commonly used in making plastic assemblies or components.",,,,,,32.7833,-96.8,Dallas,US,6352473-1,,,,
Wind/sun solar collection system (HS2),6372978,utility,2002-04-16,"The present invention is a self-contained, solar powered heating and cooling system for a building. The collector has an insulated heating chamber, and a light transmissive cover and a thermostatically controlled vent. The chamber contains absorptive columns standing on the floor. An internal liquid conduit exposes the liquid to the heat within the chamber. The collector is connected to a remote thermal reservoir such that a liquid circuit and a separate gas circuit both circulate heated fluid to the reservoir. Heat can be stored in any of a liquid reservoir, thermal mass reservoir and gas reservoir. Wind powered generators and photovoltaic cells provide power for the system or other applications. The thermal reservoir has heat exchangers which deliver stored heat to the building or operate a heat operated refrigeration machine (e.g., a liquid absorption chiller). Additional self sustaining power sources may optionally be incorporated into the present invention.",,,,,,40.8897,-74.1953,West Paterson,US,6372978-1,,,,
Wind-generated power system,6409467,utility,2002-06-25,A wind-generated power system for producing supplemental electrical power from wind-producing resource. The wind-generated power system includes a subway system tunnel having a wall and support structure with wind being generated by subway trains passing or traveling at high rates of speed therethrough; and also includes wind-collecting ducts being spaced throughout the subway system tunnel and being attached to the wall and support structure; and further includes shrouds being mounted to the wall and support structure and being connected to the wind-collecting ducts; and also includes turbine generators being mounted in the shrouds and being adapted to transform wind to electrical power.,,,,,,40.7142,-74.0064,New York,US,6409467-1,,,,
Vertical-axis wind mill supported by a fluid,6448668,utility,2002-09-10,"A vertical-axis wind turbine installed at the top of a hillock, in a crater, is constituted of a turbine, a buoy and a cylindrical shape foundation carried over two floors, and comprising a basin located across the higher floor and an alternator room located underground. One or more rotors are suspended from the turbine but the weight thereof supported by water in the basin. The turbine has a roof in the form of a plane wing (Naca), a collecting section having a number of blades spread over all the circumference of the section leaving a series of openings by which the air strikes each blade, and a floor which receives the blades, level with the top of the hillock. A buoy wherein the water supports the weight of the turbine and rotor creates a state of weightlessness. By violent winds, the buoy may be filled with water to create inertia and the water in the basin be lowered by gravity, into an adjacent tank, to bury the turbine within the crater.",,,,,,47.3231,-70.1793,St-Roch-des-Aulnaies,CA,6448668-1,,,,
Windjet turbine,6582291,utility,2003-06-24,"A roof-mounted wind turbine includes turbine vanes that are linear-shaped and do not have the conventional convex curvature. Additionally, the turbine vanes are made in common with one another or with a common turbine component, so that each vane does not require individual handling nor individual attachment to the turbine assembly as is required in the construction of conventional wind turbines that are commercially available today. This is accomplished by producing the vanes by molding or extruding techniques that are commonly used in making plastic assemblies or components.",,,,,,32.7833,-96.8,Dallas,US,6352473-1,,,,
Wind power plant provided with cast shadow control,6661111,utility,2003-12-09,"In the planning and erection of wind power installations the visual impairments to be expected of the wind power installation on the environment are playing an increasingly important part in terms of approval and acceptance. If for example a wind power installation is positioned in the proximity of a residential building, it is possible in adverse positions of the sun, that the wind power installation or the rotor thereof is between the sun and the residential building. If the sunshine is not affected by clouds the rotor as it rotates continuously casts a shadow thereof on the plot of land. The shadow projection caused by the wind power installation on the adjacent area of ground is often perceived by the residents as being a very severe nuisance. Even if the wind power installation satisfies the requirements in terms of legal requirements for planning permission, there is however not always a guarantee that the unwanted shadow effect is prevented.The object of the present invention is to provide a wind power installation by means of which the problems of casting shadows are overcome.1. A method of operating a wind power installation which shuts down at a predetermined position of the sun if the light intensity is above a predetermined value (shut-down intensity).",,,,,,48.1518,11.5707,MÃÂÃÂ¼nchen,DE,6157556-1,,,,
Wind power facility with a verticle rotor,6666650,utility,2003-12-23,"The invention relates to a wind power facility with a vertical rotor for generating energy, wherein a three-blade rotor (5) operates according to the cross-flow principle. The outer admission surface construction (1) and the facility has the shape of a tower consisting of stories. The individual stories are separated by floors (7). Vertical and horizontal admission surface elements (12, 13) form compartments through which wind is fed to the blades (1, 2,3) of the rotor (5). The admission surface construction (11) and the blades (1, 2, 3) of the rotor have a specific constructional design and form an integral unit.",,,,,,50.7102,12.4734,D-08060 Zwickau,DE,6666650-1,,,,
Reciprocating windmill pumping system,6699019,utility,2004-03-02,"A system for pumping water from a well (32) drilled into an underground water source (44) that is operable in association with the windmill (10) having a tower frame (14), a wind driven turbine (12), and a reciprocating pump shaft (16) operably connected to the turbine. The system includes an air pump (20) mechanically linked to the reciprocating pump shaft (16) of the windmill (10) and operable by the direct reciprocating motion of the shaft (16). The air pump (20) operates through the reciprocating motion of the windmill shaft (16) and delivers a flow of compressed air into the well (32) down to a point below the water level within the well (32). An air lift fluid pump (20, 36) is positioned within the well (32) and comprises a submerged mixing chamber wherein compressed air is injected into the mixing chamber forming a buoyant air-water mixture. This buoyant mixture flows towards the surface which in turn draws water up through the fluid conduit (38) to the surface.",,,,,,29.3472,-99.1411,Hondo,US,6699019-1,,,,
Eolic marine electrical generator GEEM,6734576,utility,2004-05-11,Apparatus for generating electrical energy from a flowing medium of wind or water in which a rotary structure is supported for rotation in response to the flower medium and has an open frame with a plurality of panels pivotably mounted at end edeges therefore for movement between open and closed positions such that when the panels are in closed position they are subject to the force of the flowing medium and will produce a rotational force to generate electrical energy. After rotating 180&deg; the panels are opened so that the frame freely rotates to its initial position. The panels are pivotably moved in synchronism by oscillating stops and a panel aligning wire.,,,,,,-15.3814,-71.4742,Lima,PE,6734576-1,,,,
System and building for generating electricity using wind power,6765309,utility,2004-07-20,"The present invention provides a system and building for generating electricity using wind power. The invention includes an enclosure, a wind turbine/generator and two or more air ducts. The enclosure, which is to be mounted within or in close proximity to a building, has an air intake and an air exhaust has an air intake and an air exhaust. The wind turbine/generator generates electricity from the wind received form the air intake and is disposed within the enclosure between the air intake and the air exhaust. Each air duct has a first end connected to an air duct intake device and second end connected to the enclosure air intake.",,,,,,32.7833,-96.8,Dallas,US,6765309-1,,,,
Waste water recovery and utilization system,6796250,utility,2004-09-28,"A waste water recovery and utilization system that converts waste water including gray water, liquid sewerage waste and solid macerated sewerage waste to steam and to electricity comprises a gray water tank, a sewerage tank, a steam generator with a gray water crucible for vaporizing the gray water and a sewerage crucible for vaporizing the liquid sewerage waste and for incinerating the solid macerated sewerage waste thereby generating steam for space heating. A variable speed injection pump cooperates with the gray water tank, with the sewerage tank, with the gray water crucible and with the sewerage crucible. Condensate is collected in a condensate tank. The system is operable on multiple fuels, including hydrogen and oxygen provided by the system, natural gas and liquid propane gas. Alternate energy including solar, wind and mechanical, supply electrical power to an electrolysis machine when conventional electrical energy is to be conserved.",,,,,,42.2528,-71.0028,Quincy,US,6796250-1,,,,
Wind power generating system,6809432,utility,2004-10-26,A wind power generating system for generating electricity from wind generated by moving vehicles. The wind power generating system includes at least one generating assembly being designed for being positioned proximate the road. The generating assembly is designed for being engaged by the wind generated by vehicles on the road whereby the generating assembly produces electricity when the generating assemblies are engaged by the wind. The generating assembly is operationally coupled to a substation whereby electricity produced by the generating assembly is transferred to the substation for distribution. A frame assembly is coupled to the generating assemblies. The frame assembly is positioned proximate the road whereby the frame assembly is for supporting the generating assemblies in a position optimizing engagement of the generating assembly by the wind when vehicles are traveling along the road.,,,,,,42.2586,-87.8406,Lake Forest,US,6809432-1,,,,
Landing stage,6827032,utility,2004-12-07,"Offshore wind power installations usually require a landing stage or landing pier so that craft, in particular ships, can guarantee supply and transportation services. In the case of small offshore installations, these are usually simple jetties with possible ways of making boats fast. In the case of larger offshore installations at which larger supply ships land, the landing installations are of a more expensive and complicated structure and have for example supply intermediate storage facilities such as fuel tanks and loading equipment such as cranes.",,,,,,48.9167,8.95,D-26607 Aurich,DE,6827032-1,,,,
Stackable vertical axis windmill,6857846,utility,2005-02-22,"A stackable, vertical axis windmill comprised of a braced external frame that enables stacking of multiple windmill assemblies. Couplings are located on both ends of the vertical rotor shaft to enable stacking and the transmission of power, an internal wind flow cavity, and controlled wind guides is described. The external frame includes structural bracing that allows for two or more windmill to be stacked one upon another to optimize the use of land or rooftop space for the generation of electricity from wind power. The computer controlled wind guides automatically close partially in high wind conditions in order to prevent damage to the windmill. The internal wind flow cavity allows wind to transfer power to both the windward and leeward rotors blades. The rotor axis is constructed so that all bearings can be replaced without dismantling the structure.",,,,,,35.7017,-96.8806,Chandler,US,6857846-1,,,,
